orf,strand,frame,start,length,gc_content,stop_codon
orf0001,+,2,353,2463,0.528,TGA
orf0002,+,0,2817,933,0.563,TAA
orf0003,+,0,3750,1287,0.531,TAA
orf0004,+,2,7382,408,0.559,TGA
orf0005,+,1,8254,954,0.517,TAA
orf0006,+,1,9322,588,0.539,TAA
orf0007,+,1,10846,516,0.475,TAA
orf0008,+,2,12179,1917,0.514,TAA
orf0009,+,0,14184,1131,0.551,TAA
orf0010,+,1,16231,1092,0.516,TGA
orf0011,+,0,17382,906,0.476,TAA
orf0012,+,1,25102,366,0.475,TGA
orf0013,+,2,25817,942,0.535,TAA
orf0014,+,2,26801,2817,0.557,TGA
orf0015,+,1,29617,495,0.533,TAA
orf0016,+,1,30199,450,0.553,TAA
orf0017,+,2,30650,951,0.552,TAA
orf0018,+,1,31666,915,0.556,TAA
orf0019,+,2,32747,822,0.529,TAA
orf0020,+,1,34129,1044,0.536,TAA
orf0021,+,0,35190,3222,0.559,TAA
orf0022,+,1,36685,369,0.55,TAA
orf0023,+,2,38672,396,0.46,TAA
orf0024,+,2,39851,459,0.569,TAA
orf0025,+,2,40901,486,0.529,TGA
orf0026,+,0,42720,549,0.523,TAA
orf0027,+,2,43550,375,0.573,TAA
orf0028,+,2,44075,354,0.503,TGA
orf0029,+,0,46752,834,0.511,TAA
orf0030,+,2,47600,942,0.559,TGA
orf0031,+,1,48592,1287,0.549,TGA
orf0032,+,0,50220,1332,0.534,TAA
orf0033,+,2,51659,531,0.548,TAG
orf0034,+,0,52182,1863,0.558,TAA
orf0035,+,2,54101,615,0.52,TAA
orf0036,+,2,55037,315,0.457,TAA
orf0037,+,1,56134,387,0.514,TGA
orf0038,+,1,59020,525,0.539,TAA
orf0039,+,2,61289,648,0.528,TAA
orf0040,+,1,62338,816,0.528,TGA
orf0041,+,1,63448,753,0.418,TGA
orf0042,+,0,65295,492,0.539,TAA
orf0043,+,0,65853,378,0.54,TGA
orf0044,+,0,67707,396,0.545,TAA
orf0045,+,1,68605,465,0.546,TGA
orf0046,+,1,69139,672,0.558,TAA
orf0047,+,0,70926,312,0.567,TAG
orf0048,+,1,73093,399,0.549,TAA
orf0049,+,2,73814,327,0.587,TAA
orf0050,+,0,73995,450,0.596,TAA
orf0051,+,2,74276,441,0.59,TGA
orf0052,+,1,75181,930,0.522,TAA
orf0053,+,2,76196,765,0.544,TAG
orf0054,+,0,76503,318,0.569,TGA
orf0055,+,0,78120,438,0.603,TGA
orf0056,+,0,80670,570,0.432,TGA
orf0057,+,0,81795,321,0.533,TAA
orf0058,+,2,84833,327,0.575,TGA
orf0059,+,1,84874,489,0.573,TGA
orf0060,+,1,85681,384,0.513,TGA
orf0061,+,2,87530,390,0.541,TAA
